DS,Iteration,PP,DT,AS,LA,PT,PT scoring,Duration,Params,sa,sd,pred25
effort/china.csv,0,none,minmax,none,svr,moead,"['sa', 'sd', 'pred25']",0.04900550842285156,"{'la__kernel': 'sigmoid', 'la__degree': 3, 'la__coef0': 0.026117962363852276, 'la__gamma': 0.21034461455037612, 'la__C': 9517.308145594441, 'la__epsilon': 0.2226336992853294}",0.4900753587596867,0.42069866544271484,0.21071913161465403
effort/china.csv,0,none,minmax,none,svr,moead,"['sa', 'sd', 'pred25']",0.07799291610717773,"{'la__kernel': 'sigmoid', 'la__degree': 3, 'la__coef0': 0.026117962363852276, 'la__gamma': 0.21034461455037612, 'la__C': 9517.308145594441, 'la__epsilon': 0.2226336992853294}",0.28792517026687187,-0.5120552814500993,0.2258254183627318
effort/china.csv,0,none,minmax,none,svr,moead,"['sa', 'sd', 'pred25']",0.04400038719177246,"{'la__kernel': 'sigmoid', 'la__degree': 3, 'la__coef0': 0.026117962363852276, 'la__gamma': 0.21034461455037612, 'la__C': 9517.308145594441, 'la__epsilon': 0.2226336992853294}",0.513446223550204,0.45810624514281406,0.20768882858435095
effort/china.csv,1,none,minmax,none,svr,random search,"['sa', 'sd', 'pred25']",0.14999938011169434,"{'la__degree': 3, 'la__coef0': 0.19321503694219094, 'la__gamma': 0.5777990665547724, 'la__C': 4276.95137359539, 'la__epsilon': 0.6664788317178842, 'la__kernel': 'sigmoid'}",0.4402436853562535,0.37023636469566157,0.2283582089552239
effort/china.csv,1,none,minmax,none,svr,random search,"['sa', 'sd', 'pred25']",0.06299853324890137,"{'la__degree': 3, 'la__coef0': 0.19321503694219094, 'la__gamma': 0.5777990665547724, 'la__C': 4276.95137359539, 'la__epsilon': 0.6664788317178842, 'la__kernel': 'sigmoid'}",0.44563222287145515,0.373685081192981,0.22835820895522385
effort/china.csv,1,none,minmax,none,svr,random search,"['sa', 'sd', 'pred25']",0.05999279022216797,"{'la__degree': 3, 'la__coef0': 0.19321503694219094, 'la__gamma': 0.5777990665547724, 'la__C': 4276.95137359539, 'la__epsilon': 0.6664788317178842, 'la__kernel': 'sigmoid'}",0.44042877235053046,0.37469281317327613,0.21628222523744914
effort/china.csv,1,none,minmax,none,svr,random search,"['sa', 'sd', 'pred25']",0.053997039794921875,"{'la__degree': 3, 'la__coef0': 0.19321503694219094, 'la__gamma': 0.5777990665547724, 'la__C': 4276.95137359539, 'la__epsilon': 0.6664788317178842, 'la__kernel': 'sigmoid'}",0.4479934647204441,0.37237882581023785,0.21628222523744914
effort/china.csv,1,none,minmax,none,svr,random search,"['sa', 'sd', 'pred25']",0.05500030517578125,"{'la__degree': 3, 'la__coef0': 0.19321503694219094, 'la__gamma': 0.5777990665547724, 'la__C': 4276.95137359539, 'la__epsilon': 0.6664788317178842, 'la__kernel': 'sigmoid'}",0.4096293447642442,0.42479098021928496,0.18023518769787428
effort/china.csv,1,none,minmax,none,svr,random search,"['sa', 'sd', 'pred25']",0.06899690628051758,"{'la__degree': 3, 'la__coef0': 0.19321503694219094, 'la__gamma': 0.5777990665547724, 'la__C': 4276.95137359539, 'la__epsilon': 0.6664788317178842, 'la__kernel': 'sigmoid'}",0.3309600353993361,-0.09598926562239889,0.23129805517865218
effort/china.csv,1,none,minmax,none,svr,sway,"['sa', 'sd', 'pred25']",0.26999497413635254,"{'la__degree': 4, 'la__coef0': 0.9655311833835887, 'la__gamma': 0.03025409086553467, 'la__C': 13138.996041876748, 'la__epsilon': 0.9737573834689891, 'la__kernel': 'poly'}",0.435271318923526,0.3645842032665287,0.20416101311623702
effort/china.csv,1,none,minmax,none,svr,sway,"['sa', 'sd', 'pred25']",0.062003374099731445,"{'la__degree': 4, 'la__coef0': 0.9655311833835887, 'la__gamma': 0.03025409086553467, 'la__C': 13138.996041876748, 'la__epsilon': 0.9737573834689891, 'la__kernel': 'poly'}",0.4301385328566932,0.3534634932167682,0.22813206693803706
effort/china.csv,1,none,minmax,none,svr,sway,"['sa', 'sd', 'pred25']",0.05599713325500488,"{'la__degree': 4, 'la__coef0': 0.9655311833835887, 'la__gamma': 0.03025409086553467, 'la__C': 13138.996041876748, 'la__epsilon': 0.9737573834689891, 'la__kernel': 'poly'}",0.42836225096354735,0.3487300738864317,0.22817729534147446
effort/china.csv,1,none,minmax,none,svr,tpe,"['sa', 'sd', 'pred25']",0.06199908256530762,"{'la__C': 15000.0, 'la__coef0': 0.0, 'la__degree': 5, 'la__epsilon': 1e-05, 'la__gamma': 0.999999, 'la__kernel': 'rbf'}",-3.7125507683425254,-24.62018688035203,0.21347806422433288
effort/china.csv,1,none,minmax,none,svr,tpe,"['sa', 'sd', 'pred25']",0.06599760055541992,"{'la__C': 15000.0, 'la__coef0': 0.0, 'la__degree': 5, 'la__epsilon': 1e-05, 'la__gamma': 0.999999, 'la__kernel': 'rbf'}",-3.7098912091280325,-24.73876635431672,0.21646313885119853
effort/china.csv,1,none,minmax,none,svr,tpe,"['sa', 'sd', 'pred25']",0.044000864028930664,"{'la__C': 15000.0, 'la__coef0': 0.0, 'la__degree': 5, 'la__epsilon': 1e-05, 'la__gamma': 0.999999, 'la__kernel': 'rbf'}",0.24820829800269717,-0.47521369499584065,0.21053821800090455
effort/china.csv,1,none,minmax,none,svr,tpe,"['sa', 'sd', 'pred25']",0.04299426078796387,"{'la__C': 15000.0, 'la__coef0': 0.0, 'la__degree': 5, 'la__epsilon': 1e-05, 'la__gamma': 0.999999, 'la__kernel': 'rbf'}",0.3960591829388825,0.30526506708597434,0.20750791497060153
effort/china.csv,1,none,minmax,none,svr,nsga-ii,"['sa', 'sd', 'pred25']",0.044999122619628906,"{'la__kernel': 'sigmoid', 'la__degree': 3, 'la__coef0': 0.015362967747610146, 'la__gamma': 0.3812756744106849, 'la__C': 14892.29896320171, 'la__epsilon': 0.6547587169677926}",0.45079831820492045,0.3835615063148201,0.24323835368611485
effort/china.csv,1,none,minmax,none,svr,nsga-ii,"['sa', 'sd', 'pred25']",0.041997432708740234,"{'la__kernel': 'sigmoid', 'la__degree': 3, 'la__coef0': 0.015362967747610146, 'la__gamma': 0.3812756744106849, 'la__C': 14892.29896320171, 'la__epsilon': 0.6547587169677926}",0.45079152946457846,0.38021472786505506,0.2433288104929896
effort/china.csv,1,none,minmax,none,svr,nsga-ii,"['sa', 'sd', 'pred25']",0.04299283027648926,"{'la__kernel': 'sigmoid', 'la__degree': 3, 'la__coef0': 0.015362967747610146, 'la__gamma': 0.3812756744106849, 'la__C': 14892.29896320171, 'la__epsilon': 0.6547587169677926}",0.4505986686947896,0.38212476576080556,0.2432835820895522
effort/china.csv,1,none,minmax,none,svr,nsga-ii,"['sa', 'sd', 'pred25']",0.04768872261047363,"{'la__kernel': 'sigmoid', 'la__degree': 3, 'la__coef0': 0.015362967747610146, 'la__gamma': 0.3812756744106849, 'la__C': 14892.29896320171, 'la__epsilon': 0.6547587169677926}",0.42663859846436025,0.4273037445638207,0.18625056535504297
effort/china.csv,1,none,minmax,none,svr,nsga-ii,"['sa', 'sd', 'pred25']",0.04398989677429199,"{'la__kernel': 'sigmoid', 'la__degree': 3, 'la__coef0': 0.015362967747610146, 'la__gamma': 0.3812756744106849, 'la__C': 14892.29896320171, 'la__epsilon': 0.6547587169677926}",0.45297302687926216,0.38627769745260576,0.24038896426956127
effort/china.csv,1,none,minmax,none,svr,nsga-ii,"['sa', 'sd', 'pred25']",0.045996665954589844,"{'la__kernel': 'sigmoid', 'la__degree': 3, 'la__coef0': 0.015362967747610146, 'la__gamma': 0.3812756744106849, 'la__C': 14892.29896320171, 'la__epsilon': 0.6547587169677926}",0.45044995646096125,0.3806737996242788,0.24929895974672092
effort/china.csv,1,none,minmax,none,svr,nsga-ii,"['sa', 'sd', 'pred25']",0.04000377655029297,"{'la__kernel': 'sigmoid', 'la__degree': 3, 'la__coef0': 0.015362967747610146, 'la__gamma': 0.3812756744106849, 'la__C': 14892.29896320171, 'la__epsilon': 0.6547587169677926}",0.44407432211771347,0.38777026083882077,0.20443238353686116
