Iteration,PT,Params?,SA+,SD+,Pred25+
1,sway,"{'la__degree': 4, 'la__coef0': 0.9138493366334145, 'la__gamma': 0.24582007296848193, 'la__C': 249.91371510521046, 'la__epsilon': 0.7720044462777179, 'la__kernel': 'rbf'}",0.0529696629160257,0.143011810944399,0.28
1,sway,"{'la__degree': 4, 'la__coef0': 0.9138493366334145, 'la__gamma': 0.24582007296848193, 'la__C': 249.91371510521046, 'la__epsilon': 0.7720044462777179, 'la__kernel': 'rbf'}",0.0745111743013078,0.14162798446881,0.24
1,sway,"{'la__degree': 4, 'la__coef0': 0.9138493366334145, 'la__gamma': 0.24582007296848193, 'la__C': 249.91371510521046, 'la__epsilon': 0.7720044462777179, 'la__kernel': 'rbf'}",0.0570850966746141,0.251165604515638,0.12
1,sway,"{'la__degree': 4, 'la__coef0': 0.9138493366334145, 'la__gamma': 0.24582007296848193, 'la__C': 249.91371510521046, 'la__epsilon': 0.7720044462777179, 'la__kernel': 'rbf'}",0.0507616439580523,0.271968976776778,0.08
1,sway,"{'la__degree': 4, 'la__coef0': 0.9138493366334145, 'la__gamma': 0.24582007296848193, 'la__C': 249.91371510521046, 'la__epsilon': 0.7720044462777179, 'la__kernel': 'rbf'}",0.0575784244479124,0.265700441259376,0.08
1,sway,"{'la__degree': 4, 'la__coef0': 0.9138493366334145, 'la__gamma': 0.24582007296848193, 'la__C': 249.91371510521046, 'la__epsilon': 0.7720044462777179, 'la__kernel': 'rbf'}",0.0532524569757225,0.271200488097643,0.08
1,sway,"{'la__degree': 4, 'la__coef0': 0.9138493366334145, 'la__gamma': 0.24582007296848193, 'la__C': 249.91371510521046, 'la__epsilon': 0.7720044462777179, 'la__kernel': 'rbf'}",0.0649323186410753,0.246967623620628,0.08
1,sway,"{'la__degree': 4, 'la__coef0': 0.9138493366334145, 'la__gamma': 0.24582007296848193, 'la__C': 249.91371510521046, 'la__epsilon': 0.7720044462777179, 'la__kernel': 'rbf'}",0.0831181705542735,0.199382747590082,0.08
1,sway,"{'la__degree': 4, 'la__coef0': 0.9138493366334145, 'la__gamma': 0.24582007296848193, 'la__C': 249.91371510521046, 'la__epsilon': 0.7720044462777179, 'la__kernel': 'rbf'}",0.0748306665519369,0.203246472338888,0.08
1,sway,"{'la__degree': 4, 'la__coef0': 0.9138493366334145, 'la__gamma': 0.24582007296848193, 'la__C': 249.91371510521046, 'la__epsilon': 0.7720044462777179, 'la__kernel': 'rbf'}",0.029413111304474,0.287556076877052,0.04
1,sway,"{'la__degree': 4, 'la__coef0': 0.9138493366334145, 'la__gamma': 0.24582007296848193, 'la__C': 249.91371510521046, 'la__epsilon': 0.7720044462777179, 'la__kernel': 'rbf'}",0.0647074759887741,0.207940981015923,0.12
