DS,Iteration,PP,DT,AS,LA,PT,PT scoring,Duration,Params,mar,sa,sdar,sd,effect size,mmre,pred25,Models built,Best params
effort/china.csv,11,none,minmax,none,svr,default,None,0.242183208465576,"{'la__kernel': 'rbf', 'la__degree': 3, 'la__coef0': 0.0, 'la__gamma': 'scale', 'la__C': 1.0, 'la__epsilon': 0.1}",3770.67990067863,0.36249571166119,7056.9344427895,0.196062143155742,0.243501590026527,1.99610981362506,0.126506024096386,,
effort/china.csv,11,none,minmax,none,svr,random search,"['sa', 'sd', 'effect size', 'pred25']",10.8904972076416,,3083.73979320776,0.478635844443552,4940.93274614873,0.43802025953696,0.321226715628296,1.40846238137954,0.162650602409639,192,pareto front
effort/china.csv,11,none,minmax,none,svr,sway,"['sa', 'sd', 'effect size', 'pred25']",70.3528978824616,,3185.13000412006,0.461493924165319,5708.80208223937,0.348283587442896,0.31038569805471,1.36188320026956,0.174698795180723,66,pareto front
effort/china.csv,11,none,minmax,none,svr,tpe,"['sa', 'sd', 'effect size', 'pred25']",437.179397106171,,3168.10610135339,0.464372134807401,5503.4515414258,0.374228597069121,0.31260918318169,1.33496274787125,0.198795180722892,3072,pareto front
effort/china.csv,11,none,minmax,none,svr,nsga-ii,"['sa', 'sd', 'effect size', 'pred25']",417.999161243439,,3139.09809268225,0.469276483734154,4971.11872951993,0.434651031306662,0.316112955956535,1.56816609431438,0.180722891566265,3000,pareto front
effort/china.csv,11,none,minmax,none,svr,nsga-iii,"['sa', 'sd', 'effect size', 'pred25']",415.013110876083,,3093.08806012131,0.477055344267748,4889.12647991592,0.443806841553569,0.319783052473243,1.43436679071983,0.150602409638554,3000,pareto front
effort/china.csv,11,none,minmax,none,svr,moead,"['sa', 'sd', 'effect size', 'pred25']",584.61167216301,,3067.84270771202,0.48132354545307,4770.31939913073,0.459276101377505,0.323833332621508,1.42125984539718,0.156626506024096,4200,pareto front
effort/china.csv,12,none,minmax,none,svr,default,None,0.243868112564087,"{'la__kernel': 'rbf', 'la__degree': 3, 'la__coef0': 0.0, 'la__gamma': 'scale', 'la__C': 1.0, 'la__epsilon': 0.1}",2578.07084744204,0.347434147549606,4092.99699582116,0.195316433376037,0.267716461256594,1.57762706762859,0.155688622754491,,
effort/china.csv,12,none,minmax,none,svr,random search,"['sa', 'sd', 'effect size', 'pred25']",11.0255491733551,,2230.26730866474,0.435470794406177,3242.94268082652,0.367608474253006,0.336843959162048,1.23514657125693,0.221556886227545,192,pareto front
effort/china.csv,12,none,minmax,none,svr,sway,"['sa', 'sd', 'effect size', 'pred25']",70.7609758377075,,2322.17577061699,0.412206761968595,3280.10201386801,0.360182084274346,0.319285274868693,1.28309046449395,0.209580838323353,66,pareto front
effort/china.csv,12,none,minmax,none,svr,tpe,"['sa', 'sd', 'effect size', 'pred25']",439.263687372208,,2341.16266908874,0.407400764647418,3341.63206399275,0.343512374023002,0.313672902575207,1.28250173238352,0.197604790419162,3072,pareto front
effort/china.csv,12,none,minmax,none,svr,nsga-ii,"['sa', 'sd', 'effect size', 'pred25']",414.862934112549,,2217.15845452455,0.438788930750307,3230.97960692836,0.368863645314333,0.338179004591262,1.20903919214041,0.191616766467066,3000,pareto front
effort/china.csv,12,none,minmax,none,svr,nsga-iii,"['sa', 'sd', 'effect size', 'pred25']",416.126793622971,,2748.79091988063,0.304221180880432,3403.90996009754,0.334315840787341,0.234913725867612,1.75717882075884,0.161676646706587,3000,pareto front
effort/china.csv,12,none,minmax,none,svr,moead,"['sa', 'sd', 'effect size', 'pred25']",588.970803976059,,2225.73462498916,0.43661811531459,3237.73878939347,0.366855943741186,0.336814952059132,1.22586310259129,0.191616766467066,4200,pareto front
effort/china.csv,13,none,minmax,none,svr,default,None,0.238916635513306,"{'la__kernel': 'rbf', 'la__degree': 3, 'la__coef0': 0.0, 'la__gamma': 'scale', 'la__C': 1.0, 'la__epsilon': 0.1}",3994.65754903396,0.380585321090871,8164.59075341531,0.221588480309892,0.234631691859517,2.36292301459297,0.162650602409639,,
effort/china.csv,13,none,minmax,none,svr,random search,"['sa', 'sd', 'effect size', 'pred25']",10.9844341278076,,3088.51340264416,0.521092730948109,5912.82951379483,0.43634010117458,0.321316901359495,1.64672557372082,0.186746987951807,192,pareto front
effort/china.csv,13,none,minmax,none,svr,sway,"['sa', 'sd', 'effect size', 'pred25']",72.1183824539185,,3346.52300063987,0.481085563791407,7098.14400400834,0.324000124337385,0.297253979102405,1.55700603852382,0.174698795180723,60,pareto front
effort/china.csv,13,none,minmax,none,svr,tpe,"['sa', 'sd', 'effect size', 'pred25']",435.933962345123,,3373.92028880813,0.476837319168328,7148.79844513329,0.318899627684349,0.293594103253091,1.47787577833073,0.168674698795181,3072,pareto front
effort/china.csv,13,none,minmax,none,svr,nsga-ii,"['sa', 'sd', 'effect size', 'pred25']",415.497938871384,,3063.62415173771,0.524952077380004,5849.77837262746,0.439230274393471,0.32307511324246,1.50292787008601,0.186746987951807,3000,pareto front
effort/china.csv,13,none,minmax,none,svr,nsga-iii,"['sa', 'sd', 'effect size', 'pred25']",417.4194419384,,3074.53397729518,0.523260391419022,5858.54483758931,0.439576851205288,0.321086123071304,1.52947350615816,0.192771084337349,3000,pareto front
effort/china.csv,13,none,minmax,none,svr,moead,"['sa', 'sd', 'effect size', 'pred25']",582.650779247284,,3011.46121157296,0.533040503092721,5975.19636215595,0.429050496463306,0.329666091364053,1.42050883738848,0.210843373493976,4200,pareto front
