ds,pp,pt,m,val,rank
adult,fairsmote,de,di-age,,
adult,fairsmote,de,di-age,,
adult,fairsmote,de,di-age,,
adult,fairsmote,de,di-age,,
adult,fairsmote,de,di-age,,
adult,fairsmote,de,di-age,,
adult,fairsmote,de,di-age,,
adult,fairsmote,de,di-age,,
adult,fairsmote,de,di-age,,
adult,fairsmote,de,di-age,,
adult,fairsmote,de,di-age,,
adult,fairsmote,de,di-age,,
adult,fairsmote,de,di-age,,
adult,fairsmote,de,di-age,,
adult,fairsmote,de,di-race,0.283221086976487,1.0
adult,fairsmote,de,di-race,0.229633816145737,1.0
adult,fairsmote,de,di-race,0.276933701657459,1.0
adult,fairsmote,de,di-race,0.270714384647348,1.0
adult,fairsmote,de,di-race,0.215728237279961,1.0
adult,fairsmote,de,di-race,0.331187408284633,1.0
adult,fairsmote,de,di-race,0.276689840291944,1.0
adult,fairsmote,de,di-race,0.184890162067534,1.0
adult,fairsmote,de,di-race,0.232216637279928,1.0
adult,fairsmote,de,di-race,0.345946455079082,1.0
adult,fairsmote,de,di-race,0.221549379935734,1.0
adult,fairsmote,de,di-race,0.301506179073444,1.0
adult,fairsmote,de,di-race,0.168454935622318,1.0
adult,fairsmote,de,di-race,0.302743146822484,1.0
adult,fairsmote,de,di-race,0.1419002723944,1.0
adult,fairsmote,de,di-race,0.173835185688835,1.0
adult,fairsmote,de,di-race,0.304412328120048,1.0
adult,fairsmote,de,di-race,0.278394169468831,1.0
adult,fairsmote,de,di-race,0.265591418180901,1.0
adult,fairsmote,de,di-race,0.218251028280919,1.0
adult,fairsmote,de,di-race,0.189760730786203,1.0
adult,fairsmote,de,di-race,0.221592419500064,1.0
adult,fairsmote,de,di-race,1.0,1.0
adult,fairsmote,de,di-race,0.233888538209362,1.0
adult,fairsmote,de,di-race,0.29052332087967,1.0
adult,fairsmote,de,di-race,0.291374965133318,1.0
adult,fairsmote,de,di-race,0.217961032278736,1.0
adult,fairsmote,de,di-race,0.226440256045519,1.0
adult,fairsmote,de,di-race,0.347719100121846,1.0
adult,fairsmote,de,di-race,0.172699485670236,1.0
adult,fairsmote,de,di-race,0.194669386077343,1.0
adult,fairsmote,de,di-race,0.0,1.0
adult,fairsmote,de,di-race,0.243327462138614,1.0
adult,fairsmote,de,di-race,0.280004334561459,1.0
adult,fairsmote,de,di-race,0.299239565686124,1.0
adult,fairsmote,de,di-race,0.335126104815257,1.0
adult,fairsmote,de,di-race,0.160747705445295,1.0
adult,fairsmote,de,di-race,0.256437758755322,1.0
adult,fairsmote,de,di-race,0.0,1.0
adult,fairsmote,de,di-race,0.270239810802896,1.0
adult,fairsmote,de,di-race,0.281892115818513,1.0
adult,fairsmote,de,di-race,0.272248553499618,1.0
adult,fairsmote,de,di-race,0.259007656401878,1.0
adult,fairsmote,de,di-race,0.215688510956091,1.0
adult,fairsmote,de,di-race,0.275019795221843,1.0
adult,fairsmote,de,di-race,0.295168258095098,1.0
adult,fairsmote,de,di-race,0.215179908441364,1.0
adult,fairsmote,de,di-race,0.353828990456394,1.0
adult,fairsmote,de,di-race,0.116587811595226,1.0
adult,fairsmote,de,di-race,0.333790235657705,1.0
adult,fairsmote,de,di-sex,0.389478494169282,1.0
