DS,Iteration,PP,DT,AS,LA,PT,PT scoring,Duration,Params,mar,sa,sd,sdar,Models built,Best params
effort/china.csv,18,none,log,none,rf,moead,"['sa', 'sd']",75.13205075263977,,2650.3205407367077,0.4606268556079347,0.46705370294196463,2650.3205407367077,500.0,pareto front
effort/china.csv,19,none,log,none,rf,default,None,2.561401128768921,"{'la__n_estimators': 100, 'la__min_samples_leaf': 1, 'la__min_impurity_decrease': 0.0, 'la__max_depth': None}",3047.9829216867465,0.46977907381811446,0.451589483536716,3047.9829216867465,,
effort/china.csv,19,none,log,none,rf,random search,"['sa', 'sd']",342.4687476158142,,2869.6973887781887,0.500793263468263,0.3656283149584236,2869.6973887781887,320.0,pareto front
effort/china.csv,19,none,log,none,rf,tpe,"['sa', 'sd']",1685.4000418186188,,2858.5096083687295,0.5027394670537281,0.3854993409540586,2858.5096083687295,1280.0,pareto front
effort/china.csv,19,none,log,none,rf,nsga-ii,"['sa', 'sd']",2523.211587905884,,2830.908831044452,0.5075408422885078,0.37770479889233893,2830.908831044452,1000.0,pareto front
effort/china.csv,19,none,log,none,rf,nsga-iii,"['sa', 'sd']",1533.0258452892303,,2908.41698499343,0.49405768105388626,0.3643533426463035,2908.41698499343,1000.0,pareto front
effort/china.csv,19,none,log,none,rf,moead,"['sa', 'sd']",511.7926731109619,,2827.8058188959453,0.5080806359873598,0.3852338038255396,2827.8058188959453,500.0,pareto front
effort/china.csv,20,none,log,none,rf,default,None,2.6529994010925293,"{'la__n_estimators': 100, 'la__min_samples_leaf': 1, 'la__min_impurity_decrease': 0.0, 'la__max_depth': None}",2476.3746084337345,0.38736786501364606,0.4682964672793539,2476.3746084337345,,
effort/china.csv,20,none,log,none,rf,random search,"['sa', 'sd']",68.4865472316742,,2332.882096242111,0.4228665830989966,0.4747537890487217,2332.882096242111,320.0,pareto front
effort/china.csv,20,none,log,none,rf,tpe,"['sa', 'sd']",801.8901720046997,,2326.184035840331,0.42452362118614023,0.473928046736437,2326.184035840331,1280.0,pareto front
effort/china.csv,20,none,log,none,rf,nsga-ii,"['sa', 'sd']",572.7238247394562,,2326.333859793844,0.42448655612813163,0.4831121218491759,2326.333859793844,1000.0,pareto front
effort/china.csv,20,none,log,none,rf,nsga-iii,"['sa', 'sd']",407.5773546695709,,2318.397974897182,0.42644982052710034,0.47614511666527515,2318.397974897182,1000.0,pareto front
effort/china.csv,20,none,log,none,rf,moead,"['sa', 'sd']",260.80005979537964,,2327.531468496939,0.42419027883060306,0.46155028840867535,2327.531468496939,500.0,pareto front
effort/china.csv,21,none,log,none,rf,default,None,2.5799975395202637,"{'la__n_estimators': 100, 'la__min_samples_leaf': 1, 'la__min_impurity_decrease': 0.0, 'la__max_depth': None}",2778.653353293413,0.3282344279431114,0.4034843290362633,2778.653353293413,,
effort/china.csv,21,none,log,none,rf,random search,"['sa', 'sd']",128.43414974212646,,2574.398809244257,0.377614884294664,0.4275465249326921,2574.398809244257,320.0,pareto front
effort/china.csv,21,none,log,none,rf,tpe,"['sa', 'sd']",1242.3722717761993,,2544.956337148299,0.3847328787313818,0.423937943189562,2544.956337148299,1280.0,pareto front
effort/china.csv,21,none,log,none,rf,nsga-ii,"['sa', 'sd']",1302.2189140319824,,2605.246043030856,0.37015727551216976,0.4188592658292005,2605.246043030856,1000.0,pareto front
effort/china.csv,21,none,log,none,rf,nsga-iii,"['sa', 'sd']",870.5372579097748,,2636.6636218447065,0.36256178045715926,0.4145059019871298,2636.6636218447065,1000.0,pareto front
effort/china.csv,21,none,log,none,rf,moead,"['sa', 'sd']",366.18478298187256,,2509.7236723796163,0.3932507066840374,0.4278001816040262,2509.7236723796163,500.0,pareto front
effort/china.csv,22,none,log,none,rf,default,None,2.6329853534698486,"{'la__n_estimators': 100, 'la__min_samples_leaf': 1, 'la__min_impurity_decrease': 0.0, 'la__max_depth': None}",2764.6582228915663,0.47771870859118803,0.4606954049100551,2764.6582228915663,,
