pt,m,val,rank
moead,PRED25+,0.204819277108434,1.0
moead,PRED25+,0.204819277108434,3.0
moead,PRED25+,0.197604790419162,1.0
moead,PRED25+,0.197604790419162,3.0
moead,PRED25+,0.192771084337349,1.0
moead,PRED25+,0.192771084337349,3.0
moead,PRED25+,0.186746987951807,1.0
moead,PRED25+,0.186746987951807,3.0
moead,PRED25+,0.203592814371257,1.0
moead,PRED25+,0.203592814371257,3.0
moead,PRED25+,0.192771084337349,1.0
moead,PRED25+,0.192771084337349,3.0
moead,PRED25+,0.228915662650602,1.0
moead,PRED25+,0.228915662650602,3.0
moead,SA+,0.4906243281494,1.0
moead,SA+,0.4906243281494,1.0
moead,SA+,0.497479134539898,1.0
moead,SA+,0.497479134539898,1.0
moead,SA+,0.463154480645557,1.0
moead,SA+,0.463154480645557,1.0
moead,SA+,0.563265840666519,1.0
moead,SA+,0.563265840666519,1.0
moead,SA+,0.460625710546519,1.0
moead,SA+,0.460625710546519,1.0
moead,SA+,0.492124853371425,1.0
moead,SA+,0.492124853371425,1.0
moead,SA+,0.494631857410703,1.0
moead,SA+,0.494631857410703,1.0
moead,SA+,0.448386150800025,1.0
moead,SA+,0.448386150800025,1.0
moead,SA+,0.52748973931035,1.0
moead,SA+,0.52748973931035,1.0
moead,SA+,0.504460274439837,1.0
moead,SA+,0.504460274439837,1.0
moead,SA+,0.495273511333958,1.0
moead,SA+,0.495273511333958,1.0
moead,SA+,0.48132354545307,1.0
moead,SA+,0.48132354545307,1.0
moead,SA+,0.43661811531459,1.0
moead,SA+,0.43661811531459,1.0
moead,SA+,0.533040503092721,1.0
moead,SA+,0.533040503092721,1.0
moead,SA+,0.493669959563731,1.0
moead,SA+,0.493669959563731,1.0
moead,SA+,0.491506526271944,1.0
moead,SA+,0.491506526271944,1.0
moead,SA+,0.499156619138173,1.0
moead,SA+,0.499156619138173,1.0
moead,SA+,0.508485692505505,1.0
moead,SA+,0.508485692505505,1.0
moead,SA+,0.466461040741193,1.0
moead,SA+,0.466461040741193,1.0
moead,SA+,0.384707853781015,1.0
moead,SA+,0.384707853781015,1.0
moead,SA+,0.525810188835141,1.0
moead,SA+,0.525810188835141,1.0
moead,SD+,0.374540142850565,1.0
moead,SD+,0.374540142850565,1.0
moead,SD+,0.383643937578074,1.0
moead,SD+,0.383643937578074,1.0
moead,SD+,0.431594427535373,1.0
moead,SD+,0.431594427535373,1.0
moead,SD+,0.546910876843137,1.0
moead,SD+,0.546910876843137,1.0
moead,SD+,0.368151768661393,1.0
moead,SD+,0.368151768661393,1.0
moead,SD+,0.375319380309832,1.0
moead,SD+,0.375319380309832,1.0
moead,SD+,0.377978846315857,1.0
moead,SD+,0.377978846315857,1.0
moead,SD+,0.37097563609951,1.0
moead,SD+,0.37097563609951,1.0
moead,SD+,0.506890962368598,1.0
moead,SD+,0.506890962368598,1.0
moead,SD+,0.411231941198175,1.0
moead,SD+,0.411231941198175,1.0
moead,SD+,0.496848988097869,1.0
moead,SD+,0.496848988097869,1.0
moead,SD+,0.459276101377505,1.0
moead,SD+,0.459276101377505,1.0
